,Liver_ILC1_1,Liver_ILC1_2,Liver_ILC1_3,Liver_NK_1,Liver_NK_2,Liver_NK_3
Gm20356,0,0,0,0,0,0
Gm20362,0,0,0,0,0,0
Gm20371,0,0,0,0,0,0
Gm20379,11,6,10,13,11,18
Gm20383,0,0,0,0,0,0
Gm20386,0,0,0,0,0,0
Gm20387,0,0,0,0,0,0
Gm20388,0,0,0,0,0,0
Gm20389,0,0,0,0,0,0
Gm20390,0,0,1,0,2,0
Gm20391,0,0,0,0,0,0
Gm20392,0,0,0,0,0,0
Gm20394,0,0,0,1,0,0
Gm20395,0,0,0,0,0,0
Gm20396,0,0,0,0,0,0
Gm20397,0,0,0,0,0,0
Gm20399,0,0,0,0,0,0
Gm2040,0,0,0,0,0,0
Gm20400,0,0,0,0,0,0
Gm20401,0,0,0,0,0,0
Gm20402,0,0,0,0,0,0
Gm20403,0,1,1,5,3,6
Gm20404,1,0,0,1,1,0
Gm20405,6,2,2,1,8,2
Gm20406,0,0,1,0,1,0
Gm20407,1,1,3,3,7,1
Gm20409,0,0,0,0,0,0
Gm20412,0,0,0,0,0,0
Gm20414,0,0,0,0,0,0
Gm20415,0,0,0,0,0,0
Gm20416,0,0,0,0,0,0
Gm20417,0,0,0,0,0,0
Gm2042,0,0,0,0,0,0
Gm20420,0,0,0,0,0,0
Gm20421,0,0,0,0,0,0
Gm20422,2,3,0,1,0,2
Gm20425,0,0,0,0,0,0
Gm20426,1,2,2,1,2,0
Gm20427,44,55,64,42,70,50
Gm20428,0,0,0,0,0,0
Gm20429,0,0,0,0,2,0
Gm20430,39,33,16,42,32,50
Gm20431,1,1,2,1,1,3
Gm20432,1,1,0,1,1,0
Gm20438,0,0,0,0,0,0
Gm2044,19,5,8,7,13,2
Gm20441,0,0,0,0,0,0
Gm20442,1,0,0,0,0,0
Gm20443,0,0,0,0,0,0
Gm20444,0,0,0,0,0,0
Gm20445,0,0,0,0,0,0
Gm20447,0,0,0,0,0,0
Gm20449,0,0,1,0,0,1
Gm20450,0,0,0,0,0,0
Gm20451,0,0,0,0,0,0
Gm20452,0,0,0,0,0,0
Gm20453,0,0,0,0,0,0
Gm20454,0,0,0,0,0,0
Gm20455,0,0,0,0,0,0
Gm20456,1,3,1,3,5,1
Gm20457,0,1,1,1,0,0
Gm20458,1,1,0,2,4,3
Gm2046,0,0,0,0,0,0
Gm20460,0,0,0,0,1,0
Gm20461,0,0,0,0,0,0
Gm20462,0,0,0,0,0,0
Gm20463,0,0,0,0,0,0
Gm20465,0,0,0,0,1,0
Gm20467,0,0,0,0,0,0
Gm20468,0,0,0,0,0,1
Gm20470,7,0,7,8,10,8
Gm20471,0,0,0,0,0,0
Gm20472,0,1,0,0,0,0
Gm20473,0,0,0,0,0,0
Gm20474,0,0,0,0,0,0
Gm20475,0,0,0,0,0,0
Gm20476,0,1,0,0,1,0
Gm20477,0,0,0,0,0,0
Gm20478,3,1,9,0,0,1
Gm20479,1,1,0,0,2,0
Gm20480,0,0,0,0,0,0
Gm20481,0,0,0,0,0,0
Gm20482,0,0,0,0,0,0
Gm20483,0,0,0,0,0,0
Gm20484,0,0,0,0,0,0
Gm20485,0,0,0,0,0,0
Gm20486,0,0,0,0,0,0
Gm20488,0,0,0,0,0,0
Gm20489,0,0,0,0,0,0
Gm20490,0,1,1,0,0,0
Gm20491,0,0,0,0,0,0
Gm20492,1,3,2,4,4,6
Gm20493,0,0,0,0,0,0
Gm20495,0,0,0,0,0,0
Gm20496,16,12,15,13,16,16
Gm20498,30,39,38,26,38,46
Gm20499,0,0,0,0,0,0
Gm20500,0,0,0,0,0,0
Gm20501,0,5,0,6,0,0
Gm20503,0,0,0,0,0,0
Gm20506,0,0,0,1,0,1
Gm20507,28,30,34,16,27,24
Gm20508,0,0,0,1,0,0
Gm20509,0,1,0,0,0,0
Gm20511,2,1,7,1,5,5
Gm20512,0,0,0,0,0,0
Gm20513,0,0,0,0,0,1
Gm20515,0,0,0,0,0,0
Gm20517,16,19,11,28,17,19
Gm20518,7,1,7,11,15,18
Gm20519,0,0,0,0,0,1
Gm20521,0,0,0,0,0,0
Gm20522,17,10,13,8,15,14
Gm20523,0,0,0,0,0,0
Gm20525,0,0,0,0,0,0
Gm20526,0,0,0,0,0,0
Gm20528,0,0,0,0,0,0
Gm20529,0,0,0,0,0,0
Gm2053,1,0,0,0,0,0
Gm20530,0,0,0,0,0,0
Gm20531,27,27,18,13,10,18
Gm20532,0,0,0,0,0,0
Gm20534,0,0,0,0,0,0
Gm20535,0,6,3,6,19,16
Gm20536,0,0,0,0,0,0
Gm20537,6,3,1,4,5,1
Gm20538,1,2,1,2,0,1
Gm20539,1,2,0,1,1,2
Gm20540,38,39,32,10,18,23
Gm20541,0,0,0,0,0,0
Gm20542,0,0,0,0,0,0
Gm20543,0,0,0,0,0,0
Gm20544,8,4,2,0,2,1
Gm20545,0,0,0,0,1,0
Gm20546,0,0,1,0,0,0
Gm20547,0,0,0,0,0,0
Gm20548,0,0,0,0,1,0
Gm20549,0,0,0,0,0,0
Gm20553,0,0,0,0,0,0
Gm20554,0,0,0,0,0,0
Gm20557,0,0,0,0,0,0
Gm20559,3141,3274,3544,2142,2528,2532
Gm2056,0,0,0,0,0,0
Gm20561,0,0,0,0,0,0
Gm20563,9,8,12,15,19,15
Gm20568,0,0,0,0,1,1
Gm20574,0,0,0,0,0,0
Gm2058,0,0,0,0,0,0
Gm20586,0,0,0,0,0,0
Gm20587,0,0,0,0,0,0
Gm20589,0,0,0,0,0,0
Gm2059,0,1,0,1,1,0
Gm20594,0,0,0,0,0,0
Gm20604,230,203,225,187,179,225
Gm20605,1173,1137,1295,821,931,991
Gm20609,0,0,0,0,0,0
Gm2061,0,0,0,0,0,0
Gm20610,0,0,0,0,0,0
Gm20611,0,0,0,0,0,0
Gm20612,1,0,1,0,0,1
Gm20613,0,0,0,0,0,0
Gm20614,0,0,0,0,0,0
Gm20615,0,2,0,0,0,0
Gm20616,1,1,0,0,4,0
Gm20617,0,0,0,0,0,0
Gm20618,0,0,0,0,0,0
Gm20619,0,1,0,0,0,0
Gm20620,0,0,0,0,0,0
Gm20621,5,2,3,27,32,57
Gm20625,0,0,0,0,0,0
Gm20627,12,21,17,0,0,0
Gm20628,34,43,33,16,32,25
Gm20629,0,0,0,0,0,0
Gm20630,0,0,0,0,0,0
Gm20631,0,3,0,0,0,0
Gm20632,15,33,13,36,39,50
Gm20633,27,26,41,17,26,31
Gm20634,0,2,1,1,1,2
Gm20635,0,0,0,0,0,0
Gm20636,4,3,7,1,0,4
Gm20637,0,0,0,0,0,1
Gm20638,0,0,0,0,0,0
Gm20641,0,0,0,0,0,0
Gm20642,0,0,0,0,0,0
Gm20643,0,0,0,0,0,0
Gm20644,0,0,0,0,1,0
Gm20646,0,0,0,0,0,0
Gm20647,0,0,0,0,0,0
Gm20648,0,0,1,1,0,1
Gm20649,0,0,0,0,0,0
Gm2065,0,0,0,0,0,0
Gm20650,0,0,0,0,0,0
Gm20651,0,0,0,0,0,1
Gm20652,3,0,1,0,2,0
Gm20655,4,3,0,0,2,5
Gm20656,0,0,0,4,0,1
Gm20657,0,0,0,0,0,0
Gm20658,1,0,0,0,1,0
Gm20659,0,0,0,0,0,0
Gm2066,0,0,0,0,0,0
Gm20660,0,0,0,0,0,0
Gm20661,0,3,5,0,2,0
Gm20662,0,0,0,0,0,0
Gm20663,0,0,0,0,0,0
Gm20667,8,11,4,14,25,4
Gm20670,0,0,0,0,0,0
Gm20671,0,0,0,0,0,0
Gm20672,0,0,0,0,0,0
Gm20673,0,0,0,0,0,0
Gm20674,0,0,0,0,0,0
Gm20675,0,0,0,0,0,0
Gm20677,0,0,0,0,0,0
Gm20678,0,0,0,0,0,0
Gm20679,0,0,0,0,0,0
Gm20680,0,0,0,0,0,0
Gm20681,1,3,1,2,0,1
Gm20682,55,31,31,2,12,24
Gm20683,7,8,4,6,14,10
Gm20684,0,0,0,0,0,0
Gm20685,0,0,0,0,0,0
Gm20686,0,0,0,0,0,0
Gm20687,0,0,0,0,0,0
Gm20688,0,0,0,0,0,0
Gm20689,265,248,310,139,163,133
Gm20690,0,0,0,0,0,0
Gm20691,16,23,29,15,22,13
Gm20692,40,38,56,23,29,46
Gm20693,0,0,0,0,0,0
Gm20694,0,0,0,0,0,0
Gm20695,2,5,5,1,11,4
Gm20696,170,111,135,207,363,247
Gm20698,0,0,0,0,0,0
Gm20699,0,0,0,1,0,0
Gm20700,0,0,0,0,0,0
Gm20701,0,0,0,0,3,0
Gm20702,1,4,4,2,2,0
Gm20703,0,0,0,0,1,0
Gm20705,4,3,0,3,3,4
Gm20706,0,0,0,0,0,0
Gm20707,221,203,234,128,212,173
Gm20708,9,8,15,6,9,5
Gm2071,0,0,0,0,0,0
Gm20711,0,0,0,0,0,0
Gm20712,7,8,9,15,17,24
Gm20713,0,0,0,0,0,0
Gm20714,0,0,0,0,0,0
Gm20715,0,0,0,0,0,0
Gm20716,5,9,6,6,1,4
Gm20717,1,1,0,0,1,0
Gm20718,0,0,0,0,0,0
Gm20721,0,2,1,0,0,0
Gm20726,4,2,0,1,0,0
Gm20730,0,0,0,0,0,0
Gm20731,4,10,11,13,8,0
Gm20732,0,1,0,1,0,0
Gm20735,60,73,78,31,33,44
Gm20736,0,0,0,0,0,0
Gm20737,0,0,0,0,0,0
Gm20738,0,0,0,0,0,0
Gm20743,7643,6725,7246,1924,2359,2579
Gm20744,0,0,0,0,0,0
Gm20747,0,0,0,0,0,0
Gm20749,0,0,0,0,0,0
Gm2075,0,0,0,0,0,0
Gm20750,1,0,0,0,0,0
Gm20751,0,0,0,0,0,0
Gm20752,0,0,0,0,0,0
Gm20753,0,1,0,0,0,2
Gm20754,0,0,0,0,0,0
Gm20755,0,0,0,0,0,0
Gm20756,1,7,0,0,2,0
Gm20757,0,0,0,0,0,0
Gm2076,5,2,3,2,4,2
Gm20760,0,0,0,0,0,0
Gm20765,0,0,0,0,0,0
Gm20767,0,0,0,0,0,0
Gm20768,6,5,4,7,5,8
Gm2077,15,15,17,13,13,17
Gm20770,0,0,0,0,0,0
Gm20772,0,0,0,0,0,0
Gm20773,0,0,0,0,0,0
Gm20775,6,11,6,3,5,3
Gm20776,0,0,0,0,0,0
Gm20777,0,0,0,0,0,0
Gm20778,0,0,0,0,0,0
Gm20781,0,0,0,0,0,0
Gm20784,5,3,2,1,8,4
Gm20786,0,0,0,0,0,0
Gm20788,0,0,0,0,0,0
Gm20791,0,0,0,0,0,0
Gm20792,0,0,0,0,0,0
Gm20793,0,0,0,0,0,0
Gm20794,0,0,0,0,0,0
Gm20795,0,0,0,0,0,0
Gm20796,9,6,5,12,8,5
Gm20797,0,0,0,0,0,0
Gm20798,0,0,0,0,0,0
Gm20799,0,0,0,0,0,0
Gm2080,0,0,0,0,0,0
Gm20800,0,0,0,0,0,0
Gm20801,0,0,0,0,0,0
Gm20802,0,0,0,0,0,0
Gm20803,0,0,0,0,0,0
Gm20804,0,0,0,0,0,0
Gm20805,0,0,0,0,0,0
Gm20806,0,0,0,0,0,0
Gm20807,0,0,0,0,0,0
Gm20808,0,0,0,0,0,0
Gm20809,0,0,0,0,0,0
Gm20810,0,0,0,0,0,0
Gm20811,0,0,0,0,0,0
Gm20812,0,0,0,0,0,0
Gm20813,0,0,0,0,0,0
Gm20814,0,0,0,0,0,0
Gm20815,0,0,0,0,0,0
Gm20816,0,0,0,0,0,0
Gm20817,0,0,0,0,0,0
Gm20818,0,0,0,0,0,0
Gm20819,0,0,0,0,0,0
Gm20820,0,0,0,0,0,0
Gm20821,0,0,0,0,0,0
Gm20822,0,0,0,0,0,0
Gm20823,0,0,0,0,0,0
Gm20824,0,0,0,0,0,0
Gm20825,0,0,0,0,0,0
Gm20826,0,0,0,0,0,0
Gm20827,0,0,0,0,0,0
Gm20828,0,0,0,0,0,0
Gm20830,0,0,0,0,0,0
Gm20831,0,0,0,0,0,0
Gm20832,0,0,0,0,0,0
Gm20833,0,0,0,0,0,0
Gm20834,0,0,0,0,0,0
Gm20835,0,0,0,0,0,0
Gm20836,0,0,0,0,0,0
Gm20837,0,0,0,0,0,0
Gm20838,0,0,0,0,0,0
Gm20840,0,0,0,0,0,0
Gm20841,0,0,0,0,0,0
Gm20842,0,0,0,0,0,0
Gm20843,0,0,0,0,0,0
Gm20844,0,0,0,0,0,0
Gm20846,0,0,0,0,0,0
Gm20847,0,0,0,0,0,0
Gm20848,0,0,0,0,0,0
Gm20849,0,0,0,0,0,0
Gm20850,0,0,0,0,0,0
Gm20851,0,0,0,0,0,0
Gm20852,0,0,0,0,0,0
Gm20853,0,0,0,0,0,0
Gm20854,0,0,0,0,0,0
Gm20855,0,0,0,0,0,0
Gm20856,0,0,0,0,0,0
Gm20857,0,0,0,0,0,0
Gm20858,0,0,0,0,0,0
Gm20859,0,0,0,0,0,0
Gm20860,0,0,0,0,0,0
Gm20861,0,0,0,0,0,0
Gm20862,0,0,0,0,0,0
Gm20863,0,0,0,0,0,0
Gm20864,0,0,0,0,0,0
Gm20865,0,0,0,0,0,0
Gm20866,0,0,0,0,0,0
Gm20867,0,0,0,0,0,0
Gm20868,0,0,0,0,0,0
Gm20869,0,0,0,0,0,0
Gm2087,0,0,0,0,0,0
Gm20870,0,0,0,0,0,0
Gm20871,0,0,0,0,0,0
Gm20873,0,0,0,0,0,0
Gm20874,0,0,0,0,0,0
Gm20877,0,0,0,0,0,0
Gm20878,0,0,0,0,0,0
Gm20879,0,0,0,0,0,0
Gm20880,0,0,0,0,0,0
Gm20881,0,0,0,0,0,0
Gm20882,0,0,0,0,0,0
Gm20883,0,0,0,0,0,0
Gm20884,0,0,0,0,0,0
Gm20885,0,0,0,0,0,0
Gm20886,0,0,0,0,0,0
Gm20887,0,0,0,0,0,0
Gm20888,0,0,0,0,0,0
Gm20889,0,0,0,0,0,0
Gm20890,0,0,0,0,0,0
Gm20891,0,0,0,0,0,0
Gm20892,0,0,0,0,0,0
Gm20893,0,0,0,0,0,0
Gm20894,0,0,0,0,0,0
Gm20895,0,0,0,0,0,0
Gm20896,0,0,0,0,0,0
Gm20897,0,0,0,0,0,0
Gm20898,0,0,0,0,0,0
Gm20900,4,4,7,1,2,3
Gm20901,0,0,0,0,0,0
Gm20902,0,0,0,0,0,0
Gm20903,0,0,0,0,0,0
Gm20904,0,0,0,0,0,0
Gm20905,0,0,0,0,0,0
Gm20906,0,0,0,0,0,0
Gm20907,0,0,0,0,0,0
Gm20908,0,0,0,0,0,0
Gm20909,0,0,0,0,0,0
Gm20910,0,0,0,0,0,0
Gm20911,0,0,0,0,0,0
Gm20912,0,0,0,0,0,0
Gm20913,0,0,0,0,0,0
Gm20914,0,0,0,0,0,0
Gm20915,0,0,0,0,0,0
Gm20916,0,0,0,0,0,0
Gm20917,0,0,0,0,0,0
Gm20918,0,0,0,0,0,0
Gm20919,0,0,0,0,0,0
Gm2092,0,0,0,0,0,0
Gm20920,0,0,0,0,0,0
Gm20921,0,0,0,0,0,0
Gm20922,0,0,0,0,0,0
Gm20923,0,0,0,0,0,0
Gm20924,0,0,0,0,0,0
Gm20925,0,0,0,0,0,0
Gm20926,0,0,0,0,0,0
Gm20927,0,0,0,0,0,0
Gm20928,0,0,0,0,0,0
Gm20929,0,0,0,0,0,0
Gm2093,4,3,2,15,0,0
Gm20930,0,0,0,0,0,0
Gm20931,0,0,0,0,0,0
Gm20932,0,0,0,0,0,0
Gm20933,0,0,0,0,0,0
Gm20934,0,0,0,0,0,0
Gm20935,0,0,0,0,0,0
Gm20936,0,0,0,0,0,0
Gm20937,0,0,0,0,0,0
Gm20939,97,119,104,54,85,67
Gm20940,0,0,0,0,0,0
Gm20945,0,0,0,3,0,0
Gm20946,0,0,0,0,0,0
Gm20948,0,0,0,0,0,0
Gm20949,3,1,5,1,4,2
Gm20954,0,0,0,0,0,0
Gm20963,0,0,0,0,0,0
Gm20978,0,0,0,0,0,0
Gm2098,0,0,0,0,0,0
Gm20987,0,0,0,0,0,0
Gm20997,0,0,0,0,0,0
Gm21006,0,0,0,0,0,0
Gm21009,0,0,0,0,0,0
Gm2101,0,0,0,0,0,0
Gm21013,0,0,0,0,0,0
Gm21028,0,0,0,0,0,0
Gm21032,0,0,0,0,0,0
Gm21033,0,0,0,0,0,0
Gm21034,0,0,0,0,0,0
Gm21035,0,0,0,0,0,0
Gm21036,0,0,0,0,0,0
Gm21037,0,0,0,0,0,0
Gm21040,0,0,0,0,0,0
Gm21043,0,0,0,0,0,0
Gm21045,0,0,0,0,0,0
Gm21048,0,0,0,0,0,0
Gm21049,0,0,0,0,0,0
Gm21054,0,0,0,0,0,0
Gm21057,0,0,0,0,0,1
Gm21060,0,0,0,0,0,0
Gm21064,0,0,0,0,0,0
Gm21065,0,0,0,0,0,0
Gm21070,0,0,0,0,0,0
Gm21076,0,0,0,0,0,0
Gm2108,0,0,0,0,0,0
Gm21083,0,0,0,0,0,0
Gm21088,0,0,0,0,0,0
Gm2109,0,0,0,0,0,0
Gm21092,24,21,34,16,35,24
Gm21093,1,0,0,0,0,0
Gm21094,0,0,0,0,0,0
Gm21095,0,0,0,0,0,0
Gm21103,0,0,0,0,0,0
Gm21111,0,0,0,0,0,0
Gm21112,0,0,0,1,0,0
Gm21114,0,0,0,0,0,0
Gm21115,0,0,0,0,0,0
Gm21117,0,0,0,0,0,0
Gm21118,0,0,0,0,0,0
Gm21119,0,0,0,0,0,0
Gm21122,0,0,0,0,0,0
Gm21123,0,0,0,0,0,0
Gm21127,0,0,0,0,0,0
Gm21129,0,0,0,0,0,0
Gm21135,0,0,0,0,0,0
Gm21136,0,0,0,0,0,0
Gm21139,0,0,0,0,0,0
Gm21142,0,0,0,0,0,0
Gm21147,0,0,0,0,0,0
Gm21149,0,0,0,0,0,0
Gm2115,0,0,0,0,0,0
Gm21151,0,0,0,0,0,0
Gm21152,0,0,0,0,0,0
Gm21155,0,0,0,0,0,0
Gm21156,0,0,0,0,0,0
Gm21160,0,0,0,0,0,0
Gm21163,0,0,0,0,0,0
Gm21168,0,0,0,0,0,0
Gm2117,0,0,0,0,0,0
Gm21170,0,0,0,0,0,0
Gm21171,0,0,0,0,0,0
Gm21173,0,0,0,0,0,0
Gm21180,0,0,0,0,0,0
Gm21181,0,0,0,0,0,0
Gm21182,25,26,53,14,14,30
Gm21184,0,0,0,0,0,0
Gm21188,0,0,0,0,0,0
Gm21190,0,0,0,0,0,0
Gm21191,0,0,0,0,0,0
Gm21198,0,0,0,0,0,0
Gm21201,0,0,0,0,0,0
Gm21209,0,0,0,0,0,0
Gm21221,0,0,0,0,0,0
Gm21232,0,0,0,0,0,0
Gm21241,0,0,0,0,0,0
Gm21242,0,0,0,0,0,0
Gm21244,0,0,0,0,0,0
Gm21245,0,0,0,0,0,0
Gm21247,0,0,0,0,0,0
Gm21248,0,0,0,0,0,0
Gm21249,0,0,0,0,0,0
Gm21256,0,0,0,0,0,0
Gm21257,0,0,0,0,0,0
Gm21258,0,0,0,0,0,0
Gm21268,0,0,0,0,0,0
Gm21269,0,4,1,0,2,0
Gm21271,0,0,0,0,0,0
Gm21275,0,0,0,0,0,0
Gm21276,0,0,0,0,0,0
Gm2128,0,0,0,0,0,0
Gm21281,0,0,0,0,0,0
Gm21282,0,0,0,0,0,0
Gm21284,0,0,0,0,0,0
Gm21285,0,0,0,0,0,0
Gm21286,0,0,0,0,0,0
Gm21287,0,0,0,0,0,0
Gm21292,0,0,0,0,0,0
Gm21293,0,0,0,0,0,0
Gm21294,0,0,0,0,0,0
Gm21301,0,0,0,0,0,0
Gm21302,0,0,0,0,0,0
Gm21304,0,0,0,0,0,0
Gm21308,0,0,0,0,0,0
Gm21310,0,0,0,0,0,0
Gm21312,0,0,0,0,0,0
Gm21316,0,0,0,0,0,0
Gm21317,0,0,0,0,0,0
Gm21319,0,0,0,0,0,0
Gm21320,0,0,0,0,0,0
Gm21330,0,0,0,0,0,0
Gm21333,0,0,0,0,0,0
Gm21340,0,0,0,0,0,0
Gm21344,0,0,0,0,0,0
Gm21350,0,0,0,0,0,0
Gm21358,0,0,0,0,0,0
Gm2136,0,3,0,0,0,0
Gm21362,0,0,0,0,0,0
Gm21366,0,0,0,0,0,0
Gm21370,0,0,0,0,0,0
Gm21378,1,6,9,15,12,9
Gm21379,0,0,0,0,0,0
Gm21380,0,0,0,0,0,0
Gm21387,0,0,0,0,0,0
Gm21392,0,0,0,0,0,0
Gm21394,0,0,0,0,0,0
Gm21396,0,0,0,0,0,0
Gm21399,196,206,189,314,367,333
Gm21405,0,0,0,0,0,0
Gm21409,0,0,0,0,0,0
Gm21411,1,0,0,0,0,0
Gm21412,0,0,0,0,0,0
Gm21413,0,0,0,0,0,0
Gm21419,0,0,0,0,0,0
Gm2142,0,0,0,0,0,0
Gm21425,0,0,0,0,0,0
Gm21427,0,0,0,0,0,0
Gm21428,0,0,0,0,0,0
Gm21430,0,0,0,0,0,0
Gm21435,0,0,0,0,0,0
Gm21440,0,0,0,0,0,0
Gm21443,0,0,0,0,0,0
Gm21450,0,0,0,0,0,0
Gm21451,0,0,0,0,0,1
Gm21454,0,0,0,0,0,0
Gm21461,0,0,0,0,0,0
Gm21462,0,0,0,0,0,0
Gm21469,0,0,0,0,0,0
Gm2147,1,1,3,1,0,3
Gm21470,0,0,0,0,0,0
Gm21476,0,0,0,0,0,0
Gm21477,0,0,0,0,0,0
Gm21488,0,0,0,0,0,0
Gm21489,0,0,0,0,0,0
Gm21497,0,0,0,0,0,0
Gm21506,0,0,0,0,0,0
Gm21518,0,0,0,0,0,0
Gm21524,0,0,0,0,0,0
Gm21529,0,0,0,0,0,0
Gm21530,0,0,0,0,0,0
Gm21539,0,0,0,0,0,0
Gm21541,0,0,0,0,0,0
Gm21542,0,0,0,0,0,0
Gm2155,0,0,0,0,0,0
Gm21560,0,0,0,0,0,0
Gm21562,0,0,0,0,0,0
Gm21572,0,0,0,0,0,0
Gm21573,0,0,0,0,0,0
Gm21577,0,0,0,0,0,0
Gm21586,0,0,0,0,0,0
Gm21588,0,0,0,0,0,0
Gm21596,20,25,28,25,19,22
Gm21599,0,0,0,0,0,0
Gm21614,0,0,0,0,0,0
Gm21616,0,0,0,0,0,0
Gm21617,0,0,0,0,0,0
Gm21626,0,0,0,0,0,0
Gm21627,0,0,0,0,0,0
Gm2163,0,0,0,0,0,0
Gm21631,0,0,0,0,0,1
Gm21633,0,0,0,0,0,0
Gm21634,0,0,0,0,0,0
Gm21637,0,0,0,0,0,0
Gm21638,0,0,0,0,0,0
Gm21642,0,0,0,0,0,0
Gm21647,0,0,0,0,0,0
Gm2165,0,0,0,0,0,0
Gm21650,0,0,0,0,0,0
Gm21654,0,0,0,0,0,0
Gm21655,0,0,0,0,0,0
Gm21658,0,0,0,0,0,0
Gm21660,0,0,0,0,0,0
Gm21661,0,0,0,0,0,0
Gm21663,0,0,0,0,0,0
Gm21671,0,0,0,0,0,0
Gm21672,0,0,0,0,0,0
Gm21673,0,0,0,0,0,0
Gm21677,0,0,0,0,0,0
Gm21678,0,0,0,0,0,0
Gm21679,0,0,0,0,0,0
Gm21680,0,0,0,0,0,0
Gm21683,0,0,0,0,0,0
Gm21685,3,64,1,4,3,4
Gm21693,0,0,0,0,0,0
Gm21698,0,0,0,0,0,0
Gm21704,0,0,0,0,0,0
Gm21708,0,0,0,0,0,0
Gm21715,0,0,0,0,0,0
Gm21717,0,0,0,0,0,0
Gm21718,0,0,0,0,0,0
Gm21719,0,0,0,0,0,0
Gm21720,0,0,0,0,0,0
Gm21721,0,0,0,0,0,0
Gm21722,0,0,0,0,0,0
Gm21723,0,0,0,0,0,0
Gm21724,0,0,0,0,0,0
Gm21725,0,0,0,0,0,0
Gm21726,0,0,0,0,0,0
Gm21728,0,0,0,0,0,0
Gm21729,0,0,0,0,0,0
Gm21731,0,0,0,0,0,0
Gm21732,0,0,0,0,0,0
Gm21733,0,0,0,0,0,0
Gm21734,0,0,0,0,0,0
Gm21735,0,0,0,0,0,0
Gm21736,0,0,0,0,0,0
Gm21737,0,0,0,0,0,0
Gm21738,0,2,0,6,2,0
Gm21739,0,0,0,0,0,0
Gm2174,0,0,0,0,0,0
Gm21740,0,0,0,0,0,0
Gm21741,0,0,0,0,0,0
Gm21742,0,0,0,0,0,0
Gm21744,0,0,0,0,0,0
Gm21745,0,0,0,0,0,0
Gm21746,0,0,0,0,0,0
Gm21748,0,0,0,0,0,0
Gm21749,0,0,0,0,0,0
Gm21750,0,0,0,0,0,0
Gm21751,0,0,0,0,0,0
Gm21752,0,0,0,0,0,0
Gm21753,0,0,0,0,0,0
Gm21754,0,0,0,0,0,0
Gm21755,0,0,0,0,0,0
Gm21756,0,0,0,0,0,0
Gm21757,0,0,0,0,0,0
Gm21758,0,0,0,0,0,0
Gm21759,0,0,0,0,0,0
Gm21760,0,0,0,0,0,0
Gm21761,0,0,0,0,0,0
Gm21762,0,0,0,0,0,0
Gm21763,0,0,0,0,0,0
Gm21764,0,0,0,0,0,0
Gm21765,0,0,0,0,0,0
Gm21766,0,0,0,0,0,0
Gm21767,0,0,0,0,0,0
Gm21768,0,0,0,0,0,0
Gm21769,1,2,0,2,0,0
Gm21771,0,0,0,0,0,0
Gm21772,0,0,0,0,0,0
Gm21773,0,0,0,0,0,0
Gm21774,0,0,0,0,0,0
Gm21775,0,0,0,0,0,0
Gm21776,0,0,0,0,0,0
Gm21777,0,0,0,0,0,0
Gm21778,0,0,0,0,0,0
Gm21779,0,0,0,0,0,0
Gm2178,3,2,0,1,1,0
Gm21780,0,0,0,0,0,0
Gm21781,59,33,50,58,51,113
Gm21782,0,0,0,0,0,0
Gm21783,0,0,0,0,0,0
Gm21784,0,0,0,0,0,0
Gm21785,0,0,0,0,0,0
Gm21787,0,0,0,0,0,0
Gm21788,0,0,0,0,0,0
Gm21789,0,0,0,0,0,0
Gm21790,0,0,0,0,0,0
Gm21791,0,0,0,0,0,0
Gm21792,0,0,0,0,0,0
Gm21794,0,0,0,0,0,0
Gm21795,0,0,0,0,0,0
Gm21796,0,0,0,0,0,0
Gm21797,0,0,0,0,0,0
Gm21798,0,0,0,0,0,0
Gm21799,0,0,0,0,0,0
Gm21800,0,0,0,0,0,0
Gm21801,0,0,0,0,0,0
Gm21802,0,0,0,0,0,0
Gm21803,0,0,0,0,0,0
Gm21804,0,0,0,0,0,0
Gm21805,0,0,0,0,0,0
Gm21806,0,0,0,0,0,0
Gm21808,0,0,0,0,0,0
Gm21809,0,0,0,0,0,0
Gm21810,0,0,0,0,0,0
Gm21811,73,62,53,39,41,41
Gm21812,0,0,0,0,0,0
Gm21813,0,0,0,0,0,0
Gm21814,2,2,1,2,7,7
Gm21815,0,0,0,0,0,0
Gm21816,0,0,0,0,0,0
Gm21817,0,0,0,0,0,0
Gm21818,0,0,0,0,0,0
Gm21819,0,0,0,0,0,0
Gm2182,0,0,0,0,0,0
Gm21820,0,0,0,0,0,0
Gm21821,0,0,0,0,0,0
Gm21822,0,0,0,0,0,0
Gm21823,0,0,0,0,0,0
Gm21824,0,0,0,0,0,0
Gm21825,0,0,0,0,0,0
Gm21826,0,0,0,0,0,0
Gm21827,0,0,0,0,0,0
Gm21828,0,0,0,0,0,0
Gm21829,0,0,0,0,0,0
Gm21830,0,0,0,0,0,0
Gm21832,0,0,0,0,0,0
Gm21833,0,0,0,0,0,0
Gm21834,0,0,0,0,0,0
Gm21835,0,0,0,0,0,0
Gm21836,0,0,0,0,0,0
Gm21837,0,0,0,0,0,0
Gm21838,0,0,0,0,0,0
Gm21839,0,0,0,0,0,0
Gm21840,0,0,0,0,0,0
Gm21841,0,0,0,0,0,0
Gm21842,0,0,0,0,0,0
Gm21843,0,0,0,0,0,0
Gm21844,0,0,0,0,0,0
